Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Agfa ePhoto 1280,,1024.0,,,38.0,114.0,,40.0,4.0,420.0,95.0,179.0
Agfa ePhoto 1680,,1280.0,640.0,1.0,38.0,114.0,50.0,,4.0,,158.0,179.0
Agfa ePhoto CL18,2000,,0.0,,,45.0,0.0,,,,0.0,179.0
Agfa ePhoto CL30,1999,,640.0,0.0,,,,,4.0,0.0,0.0,269.0
Agfa ePhoto CL30 Clik!,1999,1152.0,,0.0,43.0,,,,40.0,,128.0,1299.0
Agfa ePhoto CL45,2001,,,1.0,51.0,51.0,50.0,20.0,,270.0,119.0,179.0
Agfa ePhoto CL50,1999,,,1.0,34.0,102.0,,0.0,,,,179.0
Canon PowerShot 350,1997,640.0,,0.0,42.0,,,,,,93.0,149.0
Canon PowerShot 600,,,,0.0,,,40.0,10.0,,,,139.0
Canon PowerShot A10,,1280.0,,,35.0,105.0,76.0,,8.0,,110.0,139.0
Canon PowerShot A100,2002,1280.0,,1.0,39.0,,20.0,5.0,,,,139.0
Canon PowerShot A20,2001,1600.0,,1.0,,105.0,76.0,16.0,,375.0,,139.0
Canon PowerShot A200,,,,,,,20.0,5.0,,225.0,110.0,139.0
Canon PowerShot A30,,1280.0,1024.0,,35.0,105.0,,,8.0,,110.0,139.0
Canon PowerShot A300,2003,,,,,,20.0,5.0,,,,139.0
Canon PowerShot A310,2004,,,,33.0,33.0,,5.0,0.0,205.0,110.0,139.0
Canon PowerShot A40,,1600.0,,,35.0,105.0,76.0,,8.0,,110.0,139.0
Canon PowerShot A400,2004,2048.0,,3.0,,100.0,0.0,,16.0,255.0,,139.0
Canon PowerShot A410,2005,,1600.0,,41.0,,0.0,1.0,16.0,,103.0,139.0
Canon PowerShot A420,,2272.0,1600.0,,,125.0,47.0,,16.0,,103.0,139.0
Canon PowerShot A430,,,1600.0,4.0,39.0,156.0,47.0,,16.0,210.0,,139.0
Canon PowerShot A450,2007,2592.0,,5.0,38.0,,47.0,,16.0,215.0,106.0,139.0
Canon PowerShot A460,,2592.0,2048.0,5.0,38.0,,47.0,1.0,,,106.0,139.0
Canon PowerShot A5,1998,,,0.0,35.0,35.0,50.0,,,,,149.0
Canon PowerShot A50,1999,1280.0,,,,70.0,50.0,,,290.0,,149.0
Canon PowerShot A510,2005,,,3.0,,,,5.0,,,,139.0
Canon PowerShot A520,2005,,1600.0,,35.0,140.0,,5.0,16.0,230.0,91.0,149.0
Canon PowerShot A530,,,,,35.0,140.0,45.0,,,,90.0,149.0
Canon PowerShot A540,2006,2816.0,,6.0,35.0,140.0,,5.0,,230.0,,149.0
Canon PowerShot A550,,,2592.0,7.0,,140.0,,5.0,16.0,210.0,91.0,149.0
Canon PowerShot A560,2007,3072.0,2592.0,,35.0,,,,16.0,205.0,,149.0
Canon PowerShot A570 IS,,3072.0,2592.0,7.0,,,45.0,5.0,16.0,215.0,90.0,149.0
Canon PowerShot A5 Zoom,,,,0.0,,,50.0,,8.0,,,149.0
Canon PowerShot A60,,,1024.0,,35.0,105.0,,,16.0,315.0,,139.0
Canon PowerShot A610,2005,2592.0,2592.0,,,140.0,,1.0,,,105.0,139.0
Canon PowerShot A620,,3072.0,,,35.0,140.0,,,32.0,285.0,,139.0
Canon PowerShot A630,,3264.0,,,35.0,140.0,0.0,,,315.0,109.0,139.0
Canon PowerShot A640,,3648.0,,,,,0.0,1.0,,315.0,,139.0
Canon PowerShot A650 IS,2007,4000.0,,12.0,35.0,210.0,,1.0,,,97.0,399.0
Canon PowerShot A70,,,,3.0,,105.0,46.0,5.0,,315.0,101.0,139.0
Canon PowerShot A700,,2816.0,,6.0,35.0,,55.0,1.0,16.0,250.0,94.0,139.0
Canon PowerShot A710 IS,2006,3072.0,2592.0,,35.0,210.0,55.0,,16.0,,,139.0
Canon PowerShot A720 IS,,,,,35.0,210.0,55.0,,,,,399.0
Canon PowerShot A75,,,,3.0,,105.0,46.0,,32.0,315.0,,139.0
Canon PowerShot A80,2003,2272.0,1600.0,3.0,38.0,,46.0,5.0,32.0,,,139.0
Canon PowerShot A85,,2272.0,1600.0,4.0,35.0,,0.0,5.0,32.0,,101.0,139.0
Canon PowerShot A95,,,2048.0,5.0,38.0,,,5.0,,,,139.0
Canon EOS 10D,2003,,2048.0,6.0,0.0,,0.0,,,875.0,150.0,1299.0
Canon EOS-1D,,,,,,0.0,0.0,,0.0,,156.0,4499.0
Canon EOS-1D Mark II,2004,3504.0,,,,,0.0,,,1565.0,,4499.0
Canon EOS-1D Mark III,,,,,,,0.0,,0.0,,,4499.0
Canon EOS-1D Mark II N,2005,3504.0,,,0.0,0.0,,0.0,,1565.0,156.0,4499.0
Canon EOS-1Ds,2002,,2032.0,,,0.0,,0.0,,,156.0,7999.0
Canon EOS-1Ds Mark II,2004,,,16.0,,0.0,,,,,156.0,7999.0
Canon EOS-1Ds Mark III,2007,5616.0,,,0.0,0.0,0.0,0.0,0.0,,,7999.0
Canon EOS 20D,2004,3504.0,,8.0,,,0.0,0.0,,,144.0,1299.0
Canon EOS 20Da,,3504.0,,,0.0,0.0,0.0,,0.0,770.0,144.0,1299.0
Canon EOS 300D / Digital Rebel,,,2048.0,6.0,,0.0,0.0,,0.0,,,1299.0
Canon EOS 30D,,,,,0.0,,0.0,,,784.0,144.0,1299.0
Canon EOS 350D / Digital Rebel XT,2005,3456.0,2496.0,,0.0,0.0,0.0,0.0,0.0,540.0,127.0,1299.0
Canon EOS 400D / Digital Rebel XTi,2006,,,10.0,0.0,,0.0,,,556.0,,1299.0
Canon EOS 40D,2007,,,10.0,0.0,0.0,,0.0,,,,1299.0
Canon EOS 5D,,,,12.0,,0.0,0.0,0.0,,895.0,152.0,2499.0
Canon EOS D30,2000,2160.0,,,0.0,,,0.0,16.0,,,549.0
Canon EOS D60,2002,3072.0,,6.0,,,,0.0,,855.0,,549.0
Canon PowerShot G1,,2048.0,1024.0,,34.0,102.0,70.0,,16.0,490.0,120.0,499.0
Canon PowerShot G2,,,1600.0,,,102.0,70.0,,,,121.0,499.0
Canon PowerShot G3,,,,3.0,,,50.0,,32.0,490.0,121.0,499.0
Canon PowerShot G5,,2592.0,,,35.0,140.0,,5.0,32.0,,,149.0
Canon PowerShot G6,,3072.0,2592.0,7.0,,140.0,50.0,,32.0,,105.0,499.0
Canon PowerShot G7,2006,3648.0,2816.0,10.0,,,,,32.0,380.0,106.0,499.0
Canon PowerShot G9,2007,,3264.0,12.0,35.0,210.0,50.0,1.0,,,106.0,499.0
Canon PowerShot Pro1,2004,3264.0,2272.0,8.0,,200.0,50.0,3.0,64.0,640.0,,139.0
Canon PowerShot Pro70,1998,1536.0,768.0,,28.0,,,12.0,,,148.0,199.0
Canon PowerShot Pro90 IS,,1856.0,1024.0,,,370.0,10.0,,,680.0,,384.0
Canon PowerShot S10,,,1280.0,,35.0,70.0,46.0,,,,106.0,399.0
Canon PowerShot S100,2000,1600.0,,,35.0,,57.0,,,250.0,87.0,199.0
Canon PowerShot S110,,1600.0,1024.0,1.0,35.0,70.0,,10.0,,250.0,,199.0
Canon PowerShot S1 IS,,2048.0,1600.0,,38.0,380.0,,,32.0,469.0,111.0,399.0
Canon PowerShot S20,,2048.0,,,,,,,,,106.0,399.0
Canon PowerShot S200,2002,,,,35.0,,,,,,87.0,199.0
Canon PowerShot S230,,2048.0,,,,,47.0,10.0,,250.0,87.0,199.0
Canon PowerShot S2 IS,,,2048.0,5.0,36.0,,,10.0,16.0,,,399.0
Canon PowerShot S30,2001,,1600.0,,35.0,105.0,80.0,10.0,16.0,,,399.0
Canon PowerShot S300,2001,1600.0,,,35.0,105.0,,16.0,,270.0,95.0,199.0
Canon PowerShot S330,,1600.0,1024.0,1.0,35.0,105.0,,,,274.0,,199.0
Canon PowerShot S3 IS,2006,,,,,,50.0,,,,113.0,399.0
Canon PowerShot S40,,2272.0,1600.0,,,105.0,,,,,112.0,139.0
Canon PowerShot S400,,,,3.0,,,46.0,,,,,139.0
Canon PowerShot S410,2004,2272.0,,3.0,36.0,,,,,215.0,,139.0
Canon PowerShot S45,2002,2272.0,,,,105.0,,10.0,32.0,323.0,,139.0
Canon PowerShot S50,2003,2592.0,,,,,,,32.0,,112.0,399.0
Canon PowerShot S500,2004,2592.0,,5.0,,108.0,,5.0,32.0,215.0,87.0,149.0
Canon PowerShot S5 IS,,3264.0,2272.0,,,432.0,,,,550.0,,399.0
Canon PowerShot S60,,,1600.0,5.0,28.0,100.0,,,32.0,300.0,114.0,399.0
Canon PowerShot S70,,3072.0,,,,100.0,50.0,,,300.0,114.0,399.0
Canon PowerShot S80,2005,3264.0,,,28.0,100.0,,4.0,,290.0,104.0,399.0
Canon PowerShot SD10,,2272.0,1600.0,,38.0,38.0,,3.0,,,90.0,199.0
Canon PowerShot SD100,2003,,1600.0,3.0,,70.0,47.0,10.0,,185.0,,199.0
Canon PowerShot SD1000,,3072.0,,,,,,5.0,32.0,175.0,,199.0
Canon PowerShot SD110,2004,,1600.0,3.0,,,,,,,85.0,199.0
Canon PowerShot SD20,2004,,,,,39.0,,3.0,32.0,140.0,90.0,199.0
Canon PowerShot SD200,,2048.0,,,,105.0,,3.0,16.0,135.0,86.0,199.0
Canon PowerShot SD30,2005,,,,38.0,,0.0,10.0,16.0,120.0,96.0,199.0
Canon PowerShot SD300,,2272.0,,3.0,35.0,,0.0,3.0,16.0,,,199.0
Canon PowerShot SD40,2006,,2592.0,7.0,38.0,90.0,,10.0,,,,199.0
Canon PowerShot SD400,,,,,35.0,,,3.0,,150.0,86.0,199.0
Canon PowerShot SD430 Wireless,,2592.0,,,35.0,105.0,,3.0,,185.0,99.0,199.0
Canon PowerShot SD450,2005,,,5.0,,105.0,,3.0,,155.0,,199.0
Canon PowerShot SD500,,3072.0,,7.0,,111.0,,,32.0,200.0,90.0,199.0
Canon PowerShot SD550,,,2592.0,7.0,,111.0,0.0,5.0,32.0,185.0,,199.0
Canon PowerShot SD600,,2816.0,,,,105.0,30.0,,,170.0,,199.0
Canon PowerShot SD630,2006,2816.0,,,35.0,,30.0,,,175.0,,199.0
Canon PowerShot SD700 IS,2006,2816.0,,6.0,35.0,,,,,195.0,,384.0
Canon PowerShot SD750,2007,,2592.0,7.0,35.0,,,5.0,32.0,170.0,92.0,384.0
Canon PowerShot SD800 IS,,,,,28.0,105.0,0.0,,,,90.0,384.0
Canon PowerShot SD850 IS,,,2272.0,8.0,35.0,,45.0,,,195.0,,384.0
Canon PowerShot SD870 IS,,3264.0,,,28.0,,45.0,2.0,,165.0,93.0,384.0
Canon PowerShot SD900,,3648.0,,10.0,,,0.0,5.0,32.0,,91.0,199.0
Canon PowerShot SD950 IS,,,3264.0,,,,50.0,5.0,32.0,205.0,,384.0
Canon PowerShot SX100 IS,2007,3264.0,,8.0,36.0,360.0,,,,,,299.0
Canon PowerShot TX1,2007,,2592.0,,,390.0,,10.0,0.0,260.0,,139.0
Casio Exilim EX-P505,2005,,,4.0,,190.0,,1.0,,275.0,,249.0
Casio Exilim EX-P600,2004,2816.0,2048.0,,,132.0,40.0,10.0,9.0,,98.0,249.0
Casio Exilim EX-P700,2004,3072.0,,,,,,,,275.0,98.0,249.0
Casio Exilim EX-S100,2004,2048.0,1600.0,,36.0,,,,,,88.0,249.0
Casio Exilim EX-S20,2003,1600.0,1280.0,1.0,35.0,35.0,,,,,,249.0
Casio Exilim EX-S3,2003,2048.0,,3.0,35.0,,80.0,,,,,249.0
Casio Exilim EX-S500,,2560.0,2304.0,4.0,,114.0,,,,125.0,90.0,249.0
Casio Exilim EX-S600,2005,2816.0,2304.0,,,114.0,40.0,,,,90.0,249.0
Casio Exilim EX-S600d,,,,,38.0,,40.0,,,155.0,,249.0
Casio Exilim EX-S880,,3264.0,2816.0,8.0,,114.0,50.0,15.0,,,,249.0
Casio Exilim EX-V7,2007,,,,,,30.0,,11.0,190.0,96.0,299.0
Casio Exilim EX-V8,2007,,2816.0,8.0,38.0,266.0,40.0,10.0,11.0,,96.0,299.0
Casio Exilim EX-Z10,,2560.0,2304.0,5.0,,114.0,,,8.0,154.0,,329.0
Casio Exilim EX-Z1000,2006,3648.0,,,38.0,114.0,,,8.0,185.0,92.0,329.0
Casio Exilim EX-Z1050,2007,,,,38.0,,40.0,,,165.0,,329.0
Casio Exilim EX-Z1080,,,,10.0,38.0,114.0,40.0,,,165.0,91.0,329.0
Casio Exilim EX-Z110,,2816.0,2304.0,,35.0,,40.0,,8.0,,90.0,329.0
Casio Exilim EX-Z120,2005,3072.0,2560.0,7.0,38.0,,,,8.0,,,329.0
Casio Exilim EX-Z1200 SR,,,,12.0,,,40.0,,11.0,,,329.0
Casio Exilim EX-Z3,,2048.0,,,35.0,105.0,,,16.0,,87.0,329.0
Casio Exilim EX-Z30,,,1600.0,3.0,,,40.0,,9.0,,87.0,329.0
Casio Exilim EX-Z4,2003,,,4.0,35.0,,,6.0,16.0,170.0,,329.0
Casio Exilim EX-Z40,,,1600.0,4.0,35.0,105.0,,,,150.0,87.0,329.0
Casio Exilim EX-Z5,2006,,,,,114.0,40.0,,8.0,160.0,95.0,329.0
Casio Exilim EX-Z50,,2560.0,2048.0,,,105.0,50.0,6.0,,,,329.0
Casio Exilim EX-Z500,2005,,2304.0,5.0,38.0,,40.0,17.0,,,89.0,329.0
Casio Exilim EX-Z55,2004,2560.0,,5.0,35.0,,,,,,87.0,329.0
Casio Exilim EX-Z57,,2560.0,2048.0,4.0,,,40.0,,,,89.0,199.0
Casio Exilim EX-Z60,2006,2816.0,2304.0,6.0,38.0,114.0,40.0,10.0,8.0,148.0,,329.0
Casio Exilim EX-Z70,2006,3072.0,2560.0,,,,,10.0,8.0,140.0,95.0,199.0
Casio Exilim EX-Z700,2006,3072.0,2560.0,7.0,38.0,114.0,40.0,,8.0,,,329.0
Casio Exilim EX-Z75,,3072.0,2560.0,,38.0,,40.0,,8.0,,95.0,199.0
Casio Exilim EX-Z750,2005,3072.0,,,38.0,114.0,40.0,10.0,,165.0,,329.0
Casio Exilim EX-Z77,2007,,,7.0,38.0,114.0,40.0,,,128.0,95.0,199.0
Casio Exilim EX-S770,2006,,2560.0,,,114.0,,15.0,,,,249.0
Casio Exilim EX-Z850,2006,,,8.0,38.0,114.0,40.0,10.0,8.0,185.0,89.0,249.0
Casio GV-10,,1280.0,640.0,1.0,,35.0,,10.0,8.0,,,249.0
Casio GV-20,,,,,,35.0,60.0,,,320.0,,249.0
Casio QV-2000UX,1999,,800.0,1.0,,108.0,50.0,,8.0,320.0,130.0,249.0
Casio QV-2100,,1600.0,800.0,,,,80.0,,16.0,,108.0,249.0
Casio QV-2300UX,,1600.0,800.0,,,,10.0,,,,67.0,249.0
Casio QV-2400UX,2001,,800.0,1.0,,123.0,10.0,,,245.0,,249.0
Casio QV-2800UX,2000,1600.0,800.0,,40.0,320.0,,1.0,8.0,,81.0,249.0
Casio QV-2900UX,,1600.0,,,40.0,320.0,40.0,1.0,8.0,295.0,81.0,249.0
Casio QV-3EX,,,1024.0,,41.0,,50.0,10.0,16.0,245.0,,249.0
Casio QV-300,1996,640.0,,0.0,47.0,,60.0,9.0,4.0,290.0,162.0,249.0
Casio QV-3000EX,2000,,1024.0,3.0,,100.0,30.0,,,,134.0,249.0
Casio QV-3500EX,2001,,,,,,,,,360.0,,249.0
Casio QV-4000,2001,2240.0,,3.0,34.0,,30.0,,,,,249.0
Casio QV-5000SX,,1280.0,,1.0,35.0,,30.0,10.0,8.0,320.0,,249.0
Casio QV-5500SX,,1280.0,640.0,,,,30.0,,8.0,320.0,,249.0
Casio QV-5700,2002,,,4.0,,102.0,30.0,,,,,249.0
Casio QV-700,,,0.0,,38.0,38.0,70.0,,,,,249.0
Casio QV-7000SX,1998,1280.0,640.0,,,,23.0,10.0,,320.0,141.0,249.0
Casio QV-770,1998,640.0,,,38.0,38.0,70.0,,,300.0,,249.0
Casio QV-8000SX,1999,1280.0,,,,320.0,40.0,,8.0,,141.0,249.0
Casio QV-R3,2002,,1600.0,,38.0,113.0,40.0,,,,90.0,249.0
Casio QV-R4,2002,2304.0,,4.0,38.0,113.0,,,,,,249.0
Casio QV-R40,,2304.0,,4.0,39.0,,60.0,10.0,11.0,,88.0,249.0
Casio QV-R41,2004,2304.0,2240.0,3.0,,117.0,60.0,10.0,,,,249.0
Casio QV-R51,,,,,,117.0,,10.0,9.0,210.0,88.0,249.0
Casio QV-R61,,,2048.0,,,117.0,,,9.0,,88.0,249.0
Casio QV-R62,2004,2816.0,,,,117.0,,10.0,,218.0,88.0,249.0
Contax N Digital,,3040.0,,,0.0,0.0,,0.0,,,152.0,549.0
Contax TVS Digital,,,,,35.0,105.0,60.0,15.0,0.0,260.0,112.0,549.0
Epson PhotoPC 800,,1600.0,640.0,1.0,,,,15.0,8.0,280.0,113.0,229.0
Epson PhotoPC 850 Zoom,,,,,,,0.0,0.0,0.0,0.0,0.0,229.0
Epson PhotoPC L-500V,2004,,1600.0,4.0,,102.0,50.0,,16.0,,,159.0
Epson PhotoPC 3000 Zoom,2000,2048.0,,3.0,34.0,,50.0,5.0,16.0,,,399.0
Epson PhotoPC 3100 Zoom,,,1600.0,3.0,,102.0,,,,360.0,107.0,399.0
Epson PhotoPC 500,1997,,,0.0,,43.0,60.0,,,,142.0,229.0
Epson PhotoPC 550,,640.0,,0.0,43.0,,60.0,10.0,1.0,170.0,107.0,229.0
Epson PhotoPC 600,,,640.0,,36.0,36.0,,20.0,,,,229.0
Epson PhotoPC 650,1999,,640.0,,39.0,39.0,60.0,15.0,8.0,,135.0,229.0
Epson PhotoPC 700,,,640.0,,,35.0,50.0,,4.0,0.0,,229.0
Epson PhotoPC 750 Zoom,1998,1280.0,640.0,1.0,,102.0,,20.0,8.0,0.0,0.0,229.0
Epson PhotoPC L-300,2003,2048.0,1600.0,,,102.0,50.0,11.0,16.0,,,399.0
Epson PhotoPC L-400,2003,2304.0,,,34.0,102.0,50.0,,16.0,,,129.0
Epson PhotoPC L-410,,2304.0,,4.0,34.0,102.0,,11.0,,,,129.0
Epson R-D1,2004,,2240.0,,0.0,,,,,,,4499.0
Fujifilm FinePix 40i,2000,,1280.0,,,36.0,,,64.0,200.0,85.5,169.0
Fujifilm FinePix 50i,,,,,36.0,36.0,50.0,6.0,64.0,200.0,,169.0
Fujifilm DS-260HD,1999,,,1.0,,105.0,,,4.0,,,169.0
Fujifilm DS-300,,1280.0,640.0,,,105.0,20.0,,,,153.0,169.0
Fujifilm FinePix 1300,,,,1.0,38.0,38.0,80.0,8.0,8.0,240.0,,169.0
Fujifilm FinePix 2300,,1600.0,1280.0,,,,,,8.0,,,169.0
Fujifilm FinePix 2400 Zoom,2000,1600.0,,1.0,38.0,,,,,290.0,,169.0
Fujifilm FinePix 2600 Zoom,2001,1600.0,1280.0,,,,80.0,10.0,16.0,,99.0,169.0
Fujifilm FinePix 2650,,1600.0,,,,,,,16.0,,100.0,169.0
Fujifilm FinePix 2800 Zoom,2001,1600.0,1280.0,,38.0,228.0,80.0,10.0,,360.0,95.0,169.0
Fujifilm Finepix 30i,,1600.0,,1.0,38.0,,,,16.0,,85.0,199.0
Fujifilm FinePix 3800,2002,,,3.0,,,,,,400.0,,399.0
Fujifilm FinePix 4800 Zoom,2001,,,,,,,20.0,16.0,280.0,80.0,169.0
Fujifilm FinePix 4900 Zoom,2000,2400.0,1600.0,,,,50.0,10.0,,,110.0,169.0
Fujifilm FinePix 6800 Zoom,,,2048.0,3.0,36.0,108.0,60.0,20.0,16.0,,,169.0
Fujifilm FinePix 6900 Zoom,2001,2832.0,2048.0,3.0,,210.0,,10.0,,450.0,,169.0
Fujifilm FinePix A101,2001,,,,,36.0,80.0,8.0,,190.0,,169.0
Fujifilm FinePix A120,2004,2016.0,,,38.0,,80.0,9.0,,170.0,102.0,169.0
Fujifilm FinePix A200,,,,,,36.0,80.0,,16.0,,99.0,169.0
Fujifilm FinePix A201,2001,1600.0,,1.0,36.0,,80.0,8.0,,,99.0,169.0
Fujifilm FinePix A203,2002,1600.0,1280.0,1.0,,114.0,,10.0,16.0,,,169.0
Fujifilm FinePix A205 Zoom,,1600.0,,,,,,10.0,16.0,225.0,99.0,169.0
Fujifilm FinePix A210 Zoom,2003,,1600.0,,,108.0,,,16.0,225.0,99.0,169.0
Fujifilm FinePix A303,,,1600.0,3.0,38.0,,60.0,10.0,16.0,,,169.0
Fujifilm FinePix A310 Zoom,,,2048.0,,38.0,,60.0,10.0,16.0,190.0,97.0,169.0
Fujifilm FinePix A330,2004,,1600.0,3.0,38.0,,60.0,10.0,16.0,160.0,104.0,169.0
Fujifilm FinePix A340,2004,,,,38.0,,,,,160.0,,169.0
Fujifilm FinePix A345 Zoom,2005,2304.0,,4.0,,,,,16.0,,,169.0
Fujifilm FinePix A350 Zoom,,2592.0,2048.0,,,105.0,60.0,,16.0,,90.0,169.0
Fujifilm FinePix A400 Zoom,,,,4.0,,114.0,60.0,10.0,,,,169.0
Fujifilm FinePix A500 Zoom,2006,2592.0,,,38.0,114.0,,10.0,,,,169.0
Fujifilm FinePix A600 Zoom,,2848.0,2048.0,6.0,,,50.0,10.0,,,93.0,169.0
Fujifilm FinePix A610,,2848.0,,,,,,,10.0,195.0,98.0,169.0
Fujifilm FinePix A800,2007,3296.0,,8.0,,,,,10.0,,,169.0
Fujifilm FinePix A820,2007,3296.0,,,,,60.0,10.0,,205.0,,169.0
Fujifilm FinePix A900,,,,9.0,,,,10.0,,,98.0,169.0
Fujifilm FinePix A920,,,,9.0,,,,10.0,,206.0,98.0,169.0
Fujifilm FinePix E500 Zoom,2004,2304.0,,4.0,,,,,,226.0,,169.0
Fujifilm FinePix E510 Zoom,,2592.0,,,28.0,,60.0,,16.0,226.0,,169.0
Fujifilm FinePix E550 Zoom,,,2048.0,6.0,32.0,130.0,60.0,7.0,16.0,260.0,105.0,169.0
Fujifilm FinePix E900 Zoom,2005,3488.0,,9.0,,,,7.0,,,,169.0
Fujifilm FinePix F10 Zoom,,,2048.0,,,108.0,,,16.0,,92.0,179.0
